Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338854779929,26786,15929,4277
1730338854813085,26562,15925,4273
1730338854817889,26276,15921,4277
1730338854846378,25982,15918,4277
1730338854879764,25721,15915,4277
1730338854884776,25542,15913,4277
1730338854913168,25394,15910,4276
1730338854946320,25375,15907,4275
1730338854951414,25427,15905,4277
1730338854979684,25521,15903,4275
1730338855013183,25646,15901,4277
1730338855016334,25764,15900,4277
1730338855046434,25847,15897,4275
1730338855079753,25881,15897,4276
1730338855083090,25852,15897,4277
1730338855113132,25813,15897,4276
1730338855146243,25724,15897,4278
1730338855148827,25640,15897,4275
1730338855180023,25560,15898,4277
1730338855212900,25516,15899,4277
1730338855215787,25481,15898,4277
1730338855246179,25482,15901,4276
1730338855279588,25481,15902,4277
1730338855282319,25486,15903,4278
1730338855312870,25533,15905,4276
1730338855346180,25711,15907,4276
1730338855348715,26179,15908,4276
1730338855379423,26928,15911,4276
1730338855382076,27731,15913,4277
1730338855412839,28224,15914,4276
1730338855446351,28244,15916,4277
1730338855456536,27858,15918,4277
1730338855479588,27253,15919,4276
1730338855512855,26558,15921,4277
1730338855515938,25932,15920,4275
1730338855546228,25454,15922,4276
1730338855579466,25140,15922,4276
1730338855582422,24988,15923,4275
1730338855612863,24980,15923,4276
1730338855646136,25059,15924,4275
1730338855651754,25208,15923,4276
1730338855679500,25363,15924,4277
1730338855712973,25478,15924,4275
1730338855718125,25583,15923,4276
1730338855746148,25593,15924,4278
1730338855786597,25585,15924,4278
1730338855790800,25517,15923,4276
1730338855812732,25444,15923,4277
1730338855846013,25355,15922,4278
1730338855848574,25258,15924,4277
1730338855879357,25182,15923,4278
1730338855912648,25142,15924,4276
1730338855915240,25105,15923,4277
1730338855945955,25088,15924,4277
1730338855979393,25089,15925,4278
1730338855981861,25158,15926,4277
1730338856012626,25471,15927,4275
1730338856045946,26065,15930,4275
1730338856048804,26827,15931,4276
1730338856079300,27509,15936,4276
1730338856083584,27817,15937,4277
1730338856112750,27704,15942,4276
1730338856146234,27275,15946,4273
1730338856151396,26723,15951,4276
1730338856179526,26201,15957,4275
1730338856212598,25755,15963,4274
1730338856219021,25442,15972,4277
1730338856246145,25238,15980,4276
1730338856279231,25166,15991,4276
1730338856282356,25183,16001,4276
1730338856312586,25260,16013,4277
1730338856345924,25366,16027,4277
1730338856350807,25505,16041,4277
1730338856379225,25605,16057,4276
1730338856412458,25630,16076,4278
1730338856415488,25590,16094,4278
1730338856445873,25528,16114,4278
1730338856479032,25461,16135,4277
1730338856498045,25375,16158,4277
1730338856512503,25318,16183,4278
1730338856545905,25283,16208,4277
1730338856548455,25241,16235,4277
1730338856579141,25182,16263,4275
1730338856612434,25156,16291,4278
1730338856614817,25216,16321,4276
1730338856645716,25456,16352,4277
1730338856679184,25980,16384,4277
1730338856690396,26720,16418,4277
1730338856712392,27366,16451,4276
1730338856745725,27663,16485,4277
1730338856747916,27556,16518,4277
1730338856779105,27142,16555,4277
1730338856781426,26587,16590,4278
1730338856812496,26046,16625,4276
1730338856845702,25604,16660,4278
1730338856849138,25273,16696,4276
1730338856879100,25074,16733,4275
1730338856912363,25027,16770,4277
1730338856915537,25063,16805,4277
1730338856945695,25214,16842,4277
1730338856978949,25397,16878,4275
1730338856982227,25578,16914,4277
1730338857012371,25676,16950,4276
1730338857045652,25750,16985,4276
1730338857049072,25735,17020,4274
1730338857079025,25669,17053,4277
1730338857112281,25573,17085,4276
1730338857115610,25483,17117,4276
1730338857145638,25422,17148,4278
1730338857178971,25364,17178,4277
1730338857182353,25323,17207,4277
1730338857212285,25311,17237,4276
1730338857245531,25365,17264,4276
1730338857248911,25670,17292,4276
1730338857278940,26276,17317,4276
1730338857312293,26995,17343,4276
1730338857315654,27496,17368,4277
1730338857345559,27586,17391,4277
1730338857378933,27328,17413,4276
1730338857382391,26838,17436,4277
1730338857412185,26301,17457,4276
1730338857445524,25825,17476,4276
1730338857449099,25485,17496,4276
1730338857478964,25289,17514,4275
1730338857484839,25194,17533,4277
1730338857512306,25182,17550,4277
1730338857545654,25285,17568,4276
1730338857551540,25442,17584,4276
1730338857579221,25604,17599,4277
1730338857612275,25739,17616,4274
1730338857618182,25805,17633,4277
1730338857645637,25845,17648,4276
1730338857678878,25795,17664,4277
1730338857688289,25709,17680,4277
1730338857712226,25625,17698,4276
1730338857745647,25544,17716,4277
1730338857749686,25478,17733,4277
1730338857778873,25423,17752,4277
1730338857812114,25413,17774,4276
1730338857814673,25378,17793,4276
1730338857845464,25385,17814,4277
1730338857878743,25495,17839,4277
1730338857883892,25914,17863,4278
1730338857912233,26573,17888,4277
1730338857945382,27149,17913,4277
1730338857952027,27394,17940,4276
1730338857979142,27277,17968,4276
1730338858012010,26870,17998,4277
1730338858017078,26335,18026,4275
1730338858045330,25817,18056,4275
1730338858078698,25446,18085,4275
1730338858083257,25194,18117,4275
1730338858112484,25055,18148,4276
1730338858145478,25004,18181,4276
1730338858150719,25043,18212,4277
1730338858178930,25169,18245,4276
1730338858189711,25315,18278,4275
1730338858212141,25469,18310,4277
1730338858245310,25591,18341,4277
1730338858251508,25654,18374,4277
1730338858278676,25672,18406,4278
1730338858312146,25635,18435,4277
1730338858316903,25560,18465,4277
1730338858345407,25449,18494,4277
1730338858378504,25386,18522,4275
1730338858383090,25343,18550,4276
1730338858412025,25333,18578,4276
1730338858445286,25343,18604,4276
1730338858451049,25378,18629,4274
1730338858478688,25407,18656,4279
1730338858511857,25442,18679,4277
1730338858518244,25498,18704,4276
1730338858547999,25632,18727,4274
1730338858578670,26045,18749,4276
1730338858581230,26706,18769,4276
1730338858612032,27315,18790,4276
1730338858645232,27608,18809,4276
1730338858653129,27482,18828,4278
1730338858678565,27041,18844,4277
1730338858711808,26487,18861,4275
1730338858716724,25957,18878,4276
1730338858745275,25555,18895,4277
1730338858778468,25289,18910,4277
1730338858789429,25166,18926,4276
1730338858811756,25126,18941,4276
1730338858845039,25183,18955,4276
1730338858851944,25299,18970,4276
1730338858878440,25466,18983,4275
1730338858882111,25645,18997,4277
1730338858911842,25779,19008,4277
1730338858945015,25863,19019,4276
1730338858950370,25842,19030,4277
1730338858978516,25756,19038,4276
1730338859011741,25645,19047,4275
1730338859017020,25511,19055,4278
1730338859045104,25448,19062,4276
1730338859078387,25369,19068,4276
1730338859083920,25336,19074,4276
1730338859111725,25309,19080,4278
1730338859145167,25297,19085,4278
1730338859149681,25332,19091,4277
1730338859178388,25345,19096,4277
1730338859211635,25380,19099,4275
1730338859216229,25418,19104,4276
1730338859245051,25577,19106,4277
1730338859278647,26008,19110,4276
1730338859282995,26658,19114,4277
1730338859311663,27205,19117,4277
1730338859344951,27411,19118,4277
1730338859351221,27227,19120,4276
1730338859378898,26803,19120,4276
1730338859411460,26290,19120,4277
1730338859416824,25797,19119,4275
1730338859444901,25448,19118,4276
1730338859478220,25215,19115,4277
1730338859482809,25072,19113,4276
1730338859512025,25054,19109,4277
1730338859544845,25160,19105,4276
1730338859549603,25305,19102,4276
1730338859578529,25501,19096,4276
1730338859582724,25654,19091,4276
1730338859611852,25751,19085,4277
1730338859645304,25743,19079,4276
1730338859650534,25666,19073,4277
1730338859678556,25544,19066,4277
1730338859711763,25408,19061,4276
1730338859716669,25322,19053,4277
1730338859745242,25290,19047,4278
1730338859778554,25286,19040,4278
1730338859783909,25300,19032,4276
1730338859811881,25318,19026,4277
1730338859844745,25343,19020,4276
1730338859852114,25379,19013,4276
1730338859878286,25420,19007,4277
1730338859911589,25598,19000,4275
1730338859915700,26067,18994,4277
1730338859944861,26723,18987,4276
1730338859978069,27231,18982,4276
1730338859983067,27417,18975,4277
1730338860011826,27231,18970,4277
1730338860044842,26788,18966,4275
1730338860049086,26254,18962,4278
1730338860078076,25791,18959,4277
1730338860111606,25443,18957,4274
1730338860115734,25217,18954,4276
1730338860144749,25117,18954,4277
1730338860178072,25114,18955,4278
1730338860180552,25184,18957,4277
1730338860211278,25349,18960,4276
1730338860244614,25518,18964,4277
1730338860247437,25684,18971,4277
1730338860277988,25771,18979,4275
1730338860281918,25795,18990,4276
