Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338869796060,26624,32475,4479
1730338869817849,26416,32476,4496
1730338869839787,26251,32476,4514
1730338869861629,26146,32476,4496
1730338869883435,26022,32475,4514
1730338869905294,26027,32476,4496
1730338869927102,26113,32475,4514
1730338869948994,26279,32474,4514
1730338869970773,26345,32475,4496
1730338869992663,26475,32475,4515
1730338870014514,26459,32474,4515
1730338870036450,26467,32475,4496
1730338870058227,26516,32474,4479
1730338870080077,26588,32475,4479
1730338870101986,26656,32474,4496
1730338870123782,26756,32474,4479
1730338870145612,26976,32474,4497
1730338870167557,27127,32475,4497
1730338870189467,27272,32475,4512
1730338870211099,27002,32475,4496
1730338870232980,26700,32474,4496
1730338870254816,26691,32476,4515
1730338870276706,26548,32474,4497
1730338870298513,26568,32476,4497
1730338870320400,26501,32475,4479
1730338870342244,26350,32474,4514
1730338870364087,26243,32475,4514
1730338870385962,26215,32474,4479
1730338870407826,26224,32476,4479
1730338870429573,26296,32477,4479
1730338870451505,26397,32474,4495
1730338870473324,26498,32475,4514
1730338870495110,26686,32472,4514
1730338870517049,26814,32476,4497
1730338870538918,26948,32476,4496
1730338870560756,27004,32476,4514
1730338870582635,27053,32472,4496
1730338870604526,27050,32474,4515
1730338870626295,26980,32475,4514
1730338870648180,26825,32476,4516
1730338870669986,26749,32474,4496
1730338870691792,26632,32473,4497
1730338870713604,26492,32477,4478
1730338870735455,26451,32475,4497
1730338870757337,26387,32475,4478
1730338870779236,26518,32472,4496
1730338870801107,26529,32475,4496
1730338870822985,26612,32475,4514
1730338870844732,26656,32471,4514
1730338870866588,26798,32475,4480
1730338870888429,27060,32475,4496
1730338870910322,27875,32475,4514
1730338870932136,29283,32476,4512
1730338870953932,30765,32474,4496
1730338870975829,31141,32476,4514
1730338870997721,31481,32473,4514
1730338871019573,30717,32474,4514
1730338871041418,29299,32477,4514
1730338871063283,28238,32475,4496
1730338871085056,27051,32474,4479
1730338871106992,26290,32472,4496
1730338871128705,26465,32475,4515
1730338871150649,27234,32474,4514
1730338871172448,28185,32473,4514
1730338871194279,28365,32472,4496
1730338871216136,27474,32472,4497
1730338871237933,26738,32474,4496
1730338871259762,26460,32474,4497
1730338871281656,26087,32476,4513
1730338871303528,25713,32475,4497
1730338871325297,25494,32475,4495
1730338871347227,24357,32473,4478
1730338871369047,23552,32473,4479
1730338871390884,22210,32475,4494
1730338871412742,21395,32476,4480
1730338871434558,22587,32475,4495
1730338871456460,25796,32474,4532
1730338871478185,29804,32475,4514
1730338871500055,31714,32475,4496
1730338871521863,30656,32475,4481
1730338871542730,5336,32475,4497
1730338871564446,13036,32474,4485
1730338871585342,8476,32472,4515
1730338871607255,24640,32473,4479
1730338871629072,23230,32471,4514
1730338871650960,22073,32473,4514
